time,latitude,longitude,depth,mag,nst,gap,dmin,rms,kota/kabupaten,horizontalError,depthError,magError,magNst
2023-03-29T04:52:06.004Z,4,477083333,1000783,174483,0,168055555555556,29,115,2341,0,0291666666666667, Bukittinggi,0,297916666666667,7674,0,088194444,17
2023-02-09T03:54:55.508Z,3,103472222,1002393,140516,0,172916666666667,17,105,2591,0,00277777777777778, Bukittinggi,0,527083333,8331,0,122916667,10
2022-09-28T03:46:33.689Z,0,91875,999509,10,0,170138888888889,38,110,1106,0,054861111, Bukittinggi,0,265277777777778,1825,0,109027778,12
2022-07-23T15:29:11.132Z,4,061111111,1000142,166244,0,16875,38,46,1057,0,061111111, Bukittinggi,0,317361111111111,4348,0,071527778,27
2022-03-03T06:37:03.223Z,0,441666667,1000026,10,0,170138888888889,,49,1069,0,0291666666666667, Bukittinggi,0,2125,0,0430555555555556,0.096,32
2022-03-02T04:41:16.535Z,1,286805556,1001306,10,0,168055555555556,,67,0,638194444,0,0444444444444444, Bukittinggi,6,0,0479166666666667,0,122222222,10
2022-02-26T19:08:15.534Z,0,742361111,998773,0,217361111111111,0,171527777777778,,61,1182,0,042361111, Bukittinggi,0,130555555555556,0,170833333333333,0.067,68
2022-02-25T15:17:21.816Z,0,36875,1000279,10,0,170138888888889,,53,1047,0,052083333, Bukittinggi,0,252083333333333,0,0479166666666667,0,077083333,24
2022-02-25T04:06:36.663Z,0,219444444,100071,10,0,172916666666667,,55,1011,0,052777778, Bukittinggi,0,169444444444444,0,0472222222222222,0,073611111,31
2022-02-25T04:02:17.930Z,0,823611111,1000685,10,0,171527777777778,,61,0,688888889,0,05, Bukittinggi,0,172222222222222,0,0479166666666667,0,00902777777777778,20
2022-02-25T01:50:42.540Z,-0.2207,1000582,10,0,168055555555556,,168,1121,0,046527778, Bukittinggi,0,213194444444444,0,0472222222222222,0,183333333,5
2022-02-25T01:39:26.554Z,0,152083333,1001006,4,0,250694444444444,,25,0,65625,0,0673611111111111, Bukittinggi,0,214583333333333,0,0465277777777778,0.052,35
2022-02-25T01:35:50.827Z,1,73125,1000017,10,5,,36,0,0444444444444444,0,0513888888888889, Bukittinggi,0,168055555555556,0,0472222222222222,0.072,63
2021-11-28T22:34:41.081Z,1,936111111,996074,125.88,0,16875,,140,1433,0,050694444, Bukittinggi,0,295138888888889,0,293055555555556,0,086805556,18
2021-08-14T22:31:25.425Z,-0.3216,1000989,131.66,0,169444444444444,,158,1139,0,0333333333333333, Bukittinggi,0,338888888888889,0,295833333333333,0,085416667,19
2021-07-21T11:37:36.361Z,2,482638889,997997,5,86875,4,,138,0,0583333333333333,0,00347222222222222, Bukittinggi,0,421527777777778,0,0479166666666667,0,120138889,10
2021-06-11T21:37:19.871Z,0.0091,999714,10,0,171527777777778,,67,1113,0,0361111111111111, Bukittinggi,4,0,0472222222222222,0.065,72
2021-05-31T22:01:26.254Z,0,148611111,1000959,1,33055555555556,0,169444444444444,,145,0,065972222,0,054166667, Bukittinggi,0,211111111111111,0,29375,0,1,14
2021-01-14T19:47:55.857Z,3,334722222,997605,133.92,0,16875,,144,2332,0,0298611111111111, Bukittinggi,0,296527777777778,0,293055555555556,0,098611111,14
2024-02-19T14:48:54.277Z,-13008,1000173,44214,0,167361111111111,15,120,3557,0,0333333333333333, Padang,0,235416666666667,9351,0,18125,4
2024-01-23T09:05:01.768Z,-15186,1005675,88018,0,170833333333333,27,154,3695,0,0340277777777778, Padang,0,390277777777778,0,345138888888889,0,114583333,12
2023-08-18T13:05:07.195Z,-10936,1003617,101989,0,167361111111111,22,130,3665,0,0256944444444444, Padang,0,231944444444444,8488,0,104861111,12
2022-12-18T19:07:11.282Z,-2895,993826,10,0,170833333333333,67,175,3852,0,044444444, Padang,0,421527777777778,1856,0.086,41
2022-11-27T11:37:26.261Z,-1697,99935,39819,0,16875,32,141,2293,0,043055556, Padang,0,356944444444444,4609,0,093055556,16
2022-10-12T03:55:39.645Z,-15178,998911,40,0,168055555555556,24,187,3635,0,04375, Padang,0,460416666666667,1988,0,122222222,9
2022-09-15T15:24:48.972Z,-20533,996071,19034,0,172222222222222,131,51,2764,0,049305556, Padang,0,343055556,3638,0,071527778,9
2022-08-22T09:26:53.591Z,-11438,1002556,90795,0,170833333333333,33,132,1657,0,045833333, Padang,0,223611111,7154,0,101388889,14
2022-08-09T04:41:10.213Z,-19832,1002649,35,0,171527777777778,56,64,2421,0,046527778, Padang,0,275694444444444,1832,0,072222222,28
2022-06-24T18:56:34.197Z,-18368,1004097,2,12083333333333,0,209027777777778,142,51,2238,0,061111111, Padang,7,0,172916666666667,0.047,150
2022-03-13T07:38:28.810Z,-22143,1000686,1,87152777777778,0,170138888888889,,96,2703,0,045138889, Padang,0,292361111111111,0,253472222222222,0.088,41
2022-01-04T10:55:40.211Z,-15098,994714,35,0,170138888888889,,198,2405,0,0284722222222222, Padang,0,417361111111111,2,0,113194444,12
2021-12-03T04:56:44.737Z,-20791,100084,10,0,168055555555556,,88,3654,0,0256944444444444, Padang,0,502083333333333,0,0465277777777778,0,184027778,6
2021-11-29T15:25:44.797Z,-13075,997371,49.99,0,170833333333333,,77,0,0888888888888889,0,057638889, Padang,0,296527777777778,0,293055555555556,0.092,35
2021-11-29T15:24:25.907Z,-25579,995117,10,0,170138888888889,,64,3246,0,043055556, Padang,0,295138888888889,0,0479166666666667,0.099,32
2021-11-01T18:41:08.219Z,-19253,996125,35,0,169444444444444,,137,2652,0,0423611111111111, Padang,0,584722222222222,2,0,151388889,8
