time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-06-01T21:22:46.134Z,-4.0474,101.045,10,4,mb,16,206,1.931,0.54,us,us7000mqz1,2024-08-06T20:32:52.040Z,"138 km WSW of Bengkulu, Indonesia",earthquake,8.8,1.786,0.212,6,reviewed,us,us
2024-05-30T20:08:17.423Z,1.9421,99.0285,132.193,4.2,mb,38,98,1.585,0.5,us,us7000mp32,2024-08-06T20:32:48.040Z,"35 km NE of Sibolga, Indonesia",earthquake,7.33,8.543,0.108,24,reviewed,us,us
2024-05-30T09:35:54.586Z,-3.8294,101.4887,46.458,4.8,mb,57,131,1.555,1.06,us,us7000mnyf,2024-08-06T20:32:48.040Z,"86 km W of Bengkulu, Indonesia",earthquake,8.29,6.685,0.088,40,reviewed,us,us
2024-05-24T03:17:31.053Z,0.7813,100.0557,198.646,4.1,mb,26,131,2.211,0.56,us,us7000mp6h,2024-08-06T02:09:35.040Z,"109 km SE of Padangsidempuan, Indonesia",earthquake,8.8,7.202,0.197,8,reviewed,us,us
2024-05-23T23:25:13.007Z,-3.8331,101.7888,63.19,4.5,mb,50,101,1.276,0.55,us,us6000n0li,2024-08-06T02:09:48.040Z,"53 km W of Bengkulu, Indonesia",earthquake,7.63,6.563,0.099,30,reviewed,us,us
2024-05-20T01:33:44.505Z,-0.4866,96.928,10,4.2,mb,26,115,1.893,0.51,us,us6000n1a1,2024-08-06T02:10:17.040Z,"152 km SW of Teluk Dalam, Indonesia",earthquake,5.13,1.895,0.159,11,reviewed,us,us
2024-05-17T00:20:56.836Z,-3.3737,101.9303,110.347,4.4,mb,18,182,1.417,0.51,us,us6000n0hj,2024-07-26T23:58:10.040Z,"60 km NW of Bengkulu, Indonesia",earthquake,11.55,9.312,0.179,9,reviewed,us,us
2024-05-14T15:36:36.693Z,-2.7214,101.6703,10,4.3,mb,24,134,2.073,1.02,us,us6000n02m,2024-07-26T23:58:08.040Z,"79 km SSE of Sungai Penuh, Indonesia",earthquake,6.01,1.901,0.201,9,reviewed,us,us
2024-05-10T15:20:47.225Z,-3.5015,101.5725,57.076,4.9,mb,52,61,1.622,0.94,us,us6000mxrs,2024-07-20T22:20:06.040Z,"83 km WNW of Bengkulu, Indonesia",earthquake,8.91,5.909,0.087,46,reviewed,us,us
2024-05-05T06:49:00.605Z,-2.1168,100.5858,65.742,4.9,mb,42,179,3.25,0.56,us,us6000mwfd,2024-07-15T03:57:54.040Z,"89 km W of Sungai Penuh, Indonesia",earthquake,9.57,8.314,0.096,34,reviewed,us,us
2024-05-03T17:06:19.355Z,0.1106,96.7685,10,4.4,mb,22,191,1.434,0.86,us,us6000mxia,2024-07-15T03:58:09.040Z,"126 km WSW of Teluk Dalam, Indonesia",earthquake,4.1,1.927,0.19,8,reviewed,us,us
2024-04-29T13:29:47.764Z,1.694,97.0405,31.015,4.6,mb,58,170,0.66,0.59,us,us6000muvz,2024-07-15T03:58:56.040Z,"78 km NW of Gunungsitoli, Indonesia",earthquake,4.61,5.46,0.086,40,reviewed,us,us
2024-04-25T04:26:34.551Z,-2.8826,100.0292,23.585,4.8,mb,47,181,3.269,0.65,us,us6000mtlj,2024-07-02T22:12:20.040Z,"106 km SSE of Tuapejat, Indonesia",earthquake,4.71,6.338,0.105,28,reviewed,us,us
2024-04-24T07:01:31.809Z,1.0183,98.7279,75.566,4.4,mb,31,63,1.186,1.1,us,us6000mvsq,2024-07-02T22:12:40.040Z,"72 km WSW of Padangsidempuan, Indonesia",earthquake,7.62,6.551,0.148,14,reviewed,us,us
2024-04-22T16:30:45.798Z,0.9268,98.8196,84.287,4.5,mb,44,144,1.299,0.58,us,us6000mszn,2024-07-02T22:12:31.040Z,"70 km SW of Padangsidempuan, Indonesia",earthquake,5.06,8.006,0.107,26,reviewed,us,us
2024-04-22T06:06:06.276Z,-2.0882,100.5671,70.955,4.7,mb,74,71,3.283,0.38,us,us7000mds7,2024-07-02T22:12:25.040Z,"91 km W of Sungai Penuh, Indonesia",earthquake,8.42,6.809,0.071,61,reviewed,us,us
2024-04-19T19:27:51.183Z,-0.7813,99.1417,39.055,4.5,mb,57,82,3.459,0.67,us,us7000md9u,2024-06-25T21:03:09.040Z,"110 km W of Pariaman, Indonesia",earthquake,9.04,6.29,0.093,37,reviewed,us,us
2024-04-13T17:19:14.458Z,-3.256,102.957,172.991,4.1,mb,31,61,1.098,0.72,us,us7000md80,2024-06-17T02:15:26.040Z,"11 km ENE of Lubuklinggau, Indonesia",earthquake,7.81,5.875,0.126,19,reviewed,us,us
2024-04-07T13:40:05.588Z,-2.6673,102.2183,186.235,4.1,mb,18,153,1.836,0.81,us,us7000mcgk,2024-06-12T21:52:00.040Z,"94 km NNW of Curup, Indonesia",earthquake,12.16,11.552,0.184,8,reviewed,us,us
2024-04-05T16:13:20.733Z,0.5402,98.5578,57.402,4.8,mb,54,157,1.241,0.83,us,us7000ma7n,2024-06-12T21:51:54.040Z,"84 km E of Teluk Dalam, Indonesia",earthquake,8.65,7.55,0.07,64,reviewed,us,us
2024-04-02T02:21:57.284Z,1.9295,98.9475,124.273,4.4,mb,13,206,0.76,0.16,us,us7000mb02,2024-06-12T21:51:57.040Z,"27 km NE of Sibolga, Indonesia",earthquake,6.77,5.936,0.268,4,reviewed,us,us
2024-03-28T05:08:18.051Z,1.7224,97.4689,40.375,4.4,mb,27,83,0.429,1.16,us,us7000m9nu,2024-06-01T21:55:51.040Z,"50 km NNW of Gunungsitoli, Indonesia",earthquake,9.37,7.498,0.138,15,reviewed,us,us
2024-03-25T01:59:46.088Z,1.104,98.9002,95.408,4,mb,19,173,1.58,0.57,us,us7000m8kw,2024-06-01T21:55:48.040Z,"51 km SW of Padangsidempuan, Indonesia",earthquake,12.67,9.419,0.196,7,reviewed,us,us
